,1,2,3,4,5,collected,annotated
0,AllenKey,Axis2,Bearing2,Drill,F20_20_B,,
1,AllenKey,Axis2,Bearing2,Drill,F20_20_G,,
2,AllenKey,Axis2,Bearing2,Drill,Housing,,
3,AllenKey,Axis2,Bearing2,Drill,M20,,
4,AllenKey,Axis2,Bearing2,Drill,M30,,
5,AllenKey,Axis2,Bearing2,Drill,S40_40_B,,
6,AllenKey,Axis2,Bearing2,Drill,S40_40_G,,
7,AllenKey,Axis2,Bearing2,F20_20_B,F20_20_G,,
8,AllenKey,Axis2,Bearing2,F20_20_B,Housing,,
9,AllenKey,Axis2,Bearing2,F20_20_B,M20,,
10,AllenKey,Axis2,Bearing2,F20_20_B,M30,,
11,AllenKey,Axis2,Bearing2,F20_20_B,S40_40_B,,
12,AllenKey,Axis2,Bearing2,F20_20_B,S40_40_G,,
13,AllenKey,Axis2,Bearing2,F20_20_G,Housing,,
14,AllenKey,Axis2,Bearing2,F20_20_G,M20,,
15,AllenKey,Axis2,Bearing2,F20_20_G,M30,,
16,AllenKey,Axis2,Bearing2,F20_20_G,S40_40_B,,
17,AllenKey,Axis2,Bearing2,F20_20_G,S40_40_G,,
18,AllenKey,Axis2,Bearing2,Housing,M20,,
19,AllenKey,Axis2,Bearing2,Housing,M30,,
20,AllenKey,Axis2,Bearing2,Housing,S40_40_B,,
21,AllenKey,Axis2,Bearing2,Housing,S40_40_G,,
22,AllenKey,Axis2,Bearing2,M20,M30,,
23,AllenKey,Axis2,Bearing2,M20,S40_40_B,,
24,AllenKey,Axis2,Bearing2,M20,S40_40_G,,
25,AllenKey,Axis2,Bearing2,M30,S40_40_B,,
26,AllenKey,Axis2,Bearing2,M30,S40_40_G,,
27,AllenKey,Axis2,Bearing2,S40_40_B,S40_40_G,,
28,AllenKey,Axis2,Drill,F20_20_B,F20_20_G,,
29,AllenKey,Axis2,Drill,F20_20_B,Housing,,
30,AllenKey,Axis2,Drill,F20_20_B,M20,,
31,AllenKey,Axis2,Drill,F20_20_B,M30,,
32,AllenKey,Axis2,Drill,F20_20_B,S40_40_B,,
33,AllenKey,Axis2,Drill,F20_20_B,S40_40_G,,
34,AllenKey,Axis2,Drill,F20_20_G,Housing,,
35,AllenKey,Axis2,Drill,F20_20_G,M20,,
36,AllenKey,Axis2,Drill,F20_20_G,M30,,
37,AllenKey,Axis2,Drill,F20_20_G,S40_40_B,,
38,AllenKey,Axis2,Drill,F20_20_G,S40_40_G,,
39,AllenKey,Axis2,Drill,Housing,M20,,
40,AllenKey,Axis2,Drill,Housing,M30,,
41,AllenKey,Axis2,Drill,Housing,S40_40_B,,
42,AllenKey,Axis2,Drill,Housing,S40_40_G,,
43,AllenKey,Axis2,Drill,M20,M30,,
44,AllenKey,Axis2,Drill,M20,S40_40_B,,
45,AllenKey,Axis2,Drill,M20,S40_40_G,,
46,AllenKey,Axis2,Drill,M30,S40_40_B,,
47,AllenKey,Axis2,Drill,M30,S40_40_G,,
48,AllenKey,Axis2,Drill,S40_40_B,S40_40_G,,
49,AllenKey,Axis2,F20_20_B,F20_20_G,Housing,,
50,AllenKey,Axis2,F20_20_B,F20_20_G,M20,,
51,AllenKey,Axis2,F20_20_B,F20_20_G,M30,,
52,AllenKey,Axis2,F20_20_B,F20_20_G,S40_40_B,,
53,AllenKey,Axis2,F20_20_B,F20_20_G,S40_40_G,,
54,AllenKey,Axis2,F20_20_B,Housing,M20,,
55,AllenKey,Axis2,F20_20_B,Housing,M30,,
56,AllenKey,Axis2,F20_20_B,Housing,S40_40_B,,
57,AllenKey,Axis2,F20_20_B,Housing,S40_40_G,,
58,AllenKey,Axis2,F20_20_B,M20,M30,,
59,AllenKey,Axis2,F20_20_B,M20,S40_40_B,,
60,AllenKey,Axis2,F20_20_B,M20,S40_40_G,,
61,AllenKey,Axis2,F20_20_B,M30,S40_40_B,,
62,AllenKey,Axis2,F20_20_B,M30,S40_40_G,,
63,AllenKey,Axis2,F20_20_B,S40_40_B,S40_40_G,,
64,AllenKey,Axis2,F20_20_G,Housing,M20,,
65,AllenKey,Axis2,F20_20_G,Housing,M30,,
66,AllenKey,Axis2,F20_20_G,Housing,S40_40_B,,
67,AllenKey,Axis2,F20_20_G,Housing,S40_40_G,,
68,AllenKey,Axis2,F20_20_G,M20,M30,,
69,AllenKey,Axis2,F20_20_G,M20,S40_40_B,,
70,AllenKey,Axis2,F20_20_G,M20,S40_40_G,,
71,AllenKey,Axis2,F20_20_G,M30,S40_40_B,,
72,AllenKey,Axis2,F20_20_G,M30,S40_40_G,,
73,AllenKey,Axis2,F20_20_G,S40_40_B,S40_40_G,,
74,AllenKey,Axis2,Housing,M20,M30,,
75,AllenKey,Axis2,Housing,M20,S40_40_B,,
76,AllenKey,Axis2,Housing,M20,S40_40_G,,
77,AllenKey,Axis2,Housing,M30,S40_40_B,,
78,AllenKey,Axis2,Housing,M30,S40_40_G,,
79,AllenKey,Axis2,Housing,S40_40_B,S40_40_G,,
80,AllenKey,Axis2,M20,M30,S40_40_B,,
81,AllenKey,Axis2,M20,M30,S40_40_G,,
82,AllenKey,Axis2,M20,S40_40_B,S40_40_G,,
83,AllenKey,Axis2,M30,S40_40_B,S40_40_G,,
84,AllenKey,Bearing2,Drill,F20_20_B,F20_20_G,,
85,AllenKey,Bearing2,Drill,F20_20_B,Housing,,
86,AllenKey,Bearing2,Drill,F20_20_B,M20,,
87,AllenKey,Bearing2,Drill,F20_20_B,M30,,
88,AllenKey,Bearing2,Drill,F20_20_B,S40_40_B,,
89,AllenKey,Bearing2,Drill,F20_20_B,S40_40_G,,
90,AllenKey,Bearing2,Drill,F20_20_G,Housing,,
91,AllenKey,Bearing2,Drill,F20_20_G,M20,,
92,AllenKey,Bearing2,Drill,F20_20_G,M30,,
93,AllenKey,Bearing2,Drill,F20_20_G,S40_40_B,,
94,AllenKey,Bearing2,Drill,F20_20_G,S40_40_G,,
95,AllenKey,Bearing2,Drill,Housing,M20,,
96,AllenKey,Bearing2,Drill,Housing,M30,,
97,AllenKey,Bearing2,Drill,Housing,S40_40_B,,
98,AllenKey,Bearing2,Drill,Housing,S40_40_G,,
99,AllenKey,Bearing2,Drill,M20,M30,,
100,AllenKey,Bearing2,Drill,M20,S40_40_B,,
101,AllenKey,Bearing2,Drill,M20,S40_40_G,,
102,AllenKey,Bearing2,Drill,M30,S40_40_B,,
103,AllenKey,Bearing2,Drill,M30,S40_40_G,,
104,AllenKey,Bearing2,Drill,S40_40_B,S40_40_G,,
105,AllenKey,Bearing2,F20_20_B,F20_20_G,Housing,,
106,AllenKey,Bearing2,F20_20_B,F20_20_G,M20,,
107,AllenKey,Bearing2,F20_20_B,F20_20_G,M30,,
108,AllenKey,Bearing2,F20_20_B,F20_20_G,S40_40_B,,
109,AllenKey,Bearing2,F20_20_B,F20_20_G,S40_40_G,,
110,AllenKey,Bearing2,F20_20_B,Housing,M20,,
111,AllenKey,Bearing2,F20_20_B,Housing,M30,,
112,AllenKey,Bearing2,F20_20_B,Housing,S40_40_B,,
113,AllenKey,Bearing2,F20_20_B,Housing,S40_40_G,,
114,AllenKey,Bearing2,F20_20_B,M20,M30,,
115,AllenKey,Bearing2,F20_20_B,M20,S40_40_B,,
116,AllenKey,Bearing2,F20_20_B,M20,S40_40_G,,
117,AllenKey,Bearing2,F20_20_B,M30,S40_40_B,,
118,AllenKey,Bearing2,F20_20_B,M30,S40_40_G,,
119,AllenKey,Bearing2,F20_20_B,S40_40_B,S40_40_G,,
120,AllenKey,Bearing2,F20_20_G,Housing,M20,,
121,AllenKey,Bearing2,F20_20_G,Housing,M30,,
122,AllenKey,Bearing2,F20_20_G,Housing,S40_40_B,,
123,AllenKey,Bearing2,F20_20_G,Housing,S40_40_G,,
124,AllenKey,Bearing2,F20_20_G,M20,M30,,
125,AllenKey,Bearing2,F20_20_G,M20,S40_40_B,,
126,AllenKey,Bearing2,F20_20_G,M20,S40_40_G,,
127,AllenKey,Bearing2,F20_20_G,M30,S40_40_B,,
128,AllenKey,Bearing2,F20_20_G,M30,S40_40_G,,
129,AllenKey,Bearing2,F20_20_G,S40_40_B,S40_40_G,,
130,AllenKey,Bearing2,Housing,M20,M30,,
131,AllenKey,Bearing2,Housing,M20,S40_40_B,,
132,AllenKey,Bearing2,Housing,M20,S40_40_G,,
133,AllenKey,Bearing2,Housing,M30,S40_40_B,,
134,AllenKey,Bearing2,Housing,M30,S40_40_G,,
135,AllenKey,Bearing2,Housing,S40_40_B,S40_40_G,,
136,AllenKey,Bearing2,M20,M30,S40_40_B,,
137,AllenKey,Bearing2,M20,M30,S40_40_G,,
138,AllenKey,Bearing2,M20,S40_40_B,S40_40_G,,
139,AllenKey,Bearing2,M30,S40_40_B,S40_40_G,,
140,AllenKey,Drill,F20_20_B,F20_20_G,Housing,,
141,AllenKey,Drill,F20_20_B,F20_20_G,M20,,
142,AllenKey,Drill,F20_20_B,F20_20_G,M30,,
143,AllenKey,Drill,F20_20_B,F20_20_G,S40_40_B,,
144,AllenKey,Drill,F20_20_B,F20_20_G,S40_40_G,,
145,AllenKey,Drill,F20_20_B,Housing,M20,,
146,AllenKey,Drill,F20_20_B,Housing,M30,,
147,AllenKey,Drill,F20_20_B,Housing,S40_40_B,,
148,AllenKey,Drill,F20_20_B,Housing,S40_40_G,,
149,AllenKey,Drill,F20_20_B,M20,M30,,
150,AllenKey,Drill,F20_20_B,M20,S40_40_B,,
151,AllenKey,Drill,F20_20_B,M20,S40_40_G,,
152,AllenKey,Drill,F20_20_B,M30,S40_40_B,,
153,AllenKey,Drill,F20_20_B,M30,S40_40_G,,
154,AllenKey,Drill,F20_20_B,S40_40_B,S40_40_G,,
155,AllenKey,Drill,F20_20_G,Housing,M20,,
156,AllenKey,Drill,F20_20_G,Housing,M30,,
157,AllenKey,Drill,F20_20_G,Housing,S40_40_B,,
158,AllenKey,Drill,F20_20_G,Housing,S40_40_G,,
159,AllenKey,Drill,F20_20_G,M20,M30,,
160,AllenKey,Drill,F20_20_G,M20,S40_40_B,,
161,AllenKey,Drill,F20_20_G,M20,S40_40_G,,
162,AllenKey,Drill,F20_20_G,M30,S40_40_B,,
163,AllenKey,Drill,F20_20_G,M30,S40_40_G,,
164,AllenKey,Drill,F20_20_G,S40_40_B,S40_40_G,,
165,AllenKey,Drill,Housing,M20,M30,,
166,AllenKey,Drill,Housing,M20,S40_40_B,,
